run_id,N_address_qubits,seed,optimized_circuit_size,optimized_circuit_depth,optimized_circuit_gates,initialize_gate_size,initialize_gate_depth,initialize_gate_gates
25,2,24,138,123,"OrderedDict({'rz': 52, 'sx': 50, 'cx': 32, 'x': 4})",15,10,"OrderedDict({'rz': 6, 'sx': 6, 'reset': 2, 'cx': 1})"
25,3,24,626,563,"OrderedDict({'rz': 230, 'sx': 227, 'cx': 160, 'x': 9})",31,21,"OrderedDict({'rz': 12, 'sx': 12, 'cx': 4, 'reset': 3})"
25,4,24,992,707,"OrderedDict({'rz': 457, 'cx': 384, 'sx': 133, 'x': 18})",62,47,"OrderedDict({'rz': 25, 'sx': 22, 'cx': 11, 'reset': 4})"
25,5,24,3058,1996,"OrderedDict({'rz': 1481, 'cx': 1280, 'sx': 262, 'x': 35})",120,100,"OrderedDict({'rz': 49, 'sx': 40, 'cx': 26, 'reset': 5})"
25,6,24,6551,4941,"OrderedDict({'rz': 3148, 'cx': 2816, 'sx': 519, 'x': 68})",235,210,"OrderedDict({'rz': 98, 'sx': 74, 'cx': 57, 'reset': 6})"
25,7,24,25644,22930,"OrderedDict({'rz': 12191, 'cx': 10240, 'sx': 3080, 'x': 133})",457,427,"OrderedDict({'rz': 190, 'sx': 140, 'cx': 120, 'reset': 7})"
25,8,24,70993,58649,"OrderedDict({'rz': 33867, 'cx': 26624, 'sx': 10249, 'x': 253})",998,963,"OrderedDict({'rz': 438, 'sx': 305, 'cx': 247, 'reset': 8})"
25,9,24,164621,145005,"OrderedDict({'rz': 78093, 'cx': 61440, 'sx': 24586, 'x': 502})",2161,2120,"OrderedDict({'rz': 979, 'sx': 671, 'cx': 502, 'reset': 9})"
25,10,24,374067,324721,"OrderedDict({'rz': 176433, 'cx': 139264, 'sx': 57355, 'x': 1015})",4314,4268,"OrderedDict({'rz': 1959, 'sx': 1332, 'cx': 1013, 'reset': 10})"
26,2,25,138,123,"OrderedDict({'rz': 52, 'sx': 50, 'cx': 32, 'x': 4})",15,10,"OrderedDict({'rz': 6, 'sx': 6, 'reset': 2, 'cx': 1})"
26,3,25,626,563,"OrderedDict({'rz': 230, 'sx': 227, 'cx': 160, 'x': 9})",31,21,"OrderedDict({'rz': 12, 'sx': 12, 'cx': 4, 'reset': 3})"
26,4,25,992,707,"OrderedDict({'rz': 457, 'cx': 384, 'sx': 133, 'x': 18})",62,47,"OrderedDict({'rz': 25, 'sx': 22, 'cx': 11, 'reset': 4})"
26,5,25,3058,1996,"OrderedDict({'rz': 1481, 'cx': 1280, 'sx': 262, 'x': 35})",120,100,"OrderedDict({'rz': 49, 'sx': 40, 'cx': 26, 'reset': 5})"
26,6,25,6550,4940,"OrderedDict({'rz': 3147, 'cx': 2816, 'sx': 519, 'x': 68})",233,208,"OrderedDict({'rz': 96, 'sx': 74, 'cx': 57, 'reset': 6})"
26,7,25,25643,22930,"OrderedDict({'rz': 12190, 'cx': 10240, 'sx': 3080, 'x': 133})",461,431,"OrderedDict({'rz': 194, 'sx': 140, 'cx': 120, 'reset': 7})"
26,8,25,70993,58649,"OrderedDict({'rz': 33867, 'cx': 26624, 'sx': 10249, 'x': 253})",912,877,"OrderedDict({'rz': 387, 'sx': 270, 'cx': 247, 'reset': 8})"
26,9,25,164613,145005,"OrderedDict({'rz': 78085, 'cx': 61440, 'sx': 24586, 'x': 502})",1842,1802,"OrderedDict({'rz': 784, 'sx': 545, 'cx': 502, 'reset': 9, 'x': 2})"
26,10,25,374045,324721,"OrderedDict({'rz': 176411, 'cx': 139264, 'sx': 57355, 'x': 1015})",4358,4312,"OrderedDict({'rz': 1976, 'sx': 1351, 'cx': 1013, 'reset': 10, 'x': 8})"
27,2,26,138,123,"OrderedDict({'rz': 52, 'sx': 50, 'cx': 32, 'x': 4})",15,10,"OrderedDict({'rz': 6, 'sx': 6, 'reset': 2, 'cx': 1})"
27,3,26,626,563,"OrderedDict({'rz': 230, 'sx': 227, 'cx': 160, 'x': 9})",31,21,"OrderedDict({'rz': 12, 'sx': 12, 'cx': 4, 'reset': 3})"
27,4,26,992,707,"OrderedDict({'rz': 457, 'cx': 384, 'sx': 133, 'x': 18})",62,47,"OrderedDict({'rz': 25, 'sx': 22, 'cx': 11, 'reset': 4})"
27,5,26,3058,1996,"OrderedDict({'rz': 1481, 'cx': 1280, 'sx': 262, 'x': 35})",120,100,"OrderedDict({'rz': 49, 'sx': 40, 'cx': 26, 'reset': 5})"
27,6,26,6550,4940,"OrderedDict({'rz': 3147, 'cx': 2816, 'sx': 519, 'x': 68})",235,210,"OrderedDict({'rz': 98, 'sx': 74, 'cx': 57, 'reset': 6})"
27,7,26,25643,22930,"OrderedDict({'rz': 12190, 'cx': 10240, 'sx': 3080, 'x': 133})",461,431,"OrderedDict({'rz': 194, 'sx': 140, 'cx': 120, 'reset': 7})"
27,8,26,70995,58649,"OrderedDict({'rz': 33869, 'cx': 26624, 'sx': 10249, 'x': 253})",990,954,"OrderedDict({'rz': 434, 'sx': 301, 'cx': 247, 'reset': 8})"
27,9,26,164619,145005,"OrderedDict({'rz': 78091, 'cx': 61440, 'sx': 24586, 'x': 502})",1914,1874,"OrderedDict({'rz': 825, 'sx': 578, 'cx': 502, 'reset': 9})"
27,10,26,374055,324721,"OrderedDict({'rz': 176421, 'cx': 139264, 'sx': 57355, 'x': 1015})",4391,4344,"OrderedDict({'rz': 2009, 'sx': 1357, 'cx': 1013, 'reset': 10, 'x': 2})"
28,2,27,138,123,"OrderedDict({'rz': 52, 'sx': 50, 'cx': 32, 'x': 4})",15,10,"OrderedDict({'rz': 6, 'sx': 6, 'reset': 2, 'cx': 1})"
28,3,27,626,563,"OrderedDict({'rz': 230, 'sx': 227, 'cx': 160, 'x': 9})",31,21,"OrderedDict({'rz': 12, 'sx': 12, 'cx': 4, 'reset': 3})"
28,4,27,992,707,"OrderedDict({'rz': 457, 'cx': 384, 'sx': 133, 'x': 18})",62,47,"OrderedDict({'rz': 25, 'sx': 22, 'cx': 11, 'reset': 4})"
28,5,27,3058,1996,"OrderedDict({'rz': 1481, 'cx': 1280, 'sx': 262, 'x': 35})",120,100,"OrderedDict({'rz': 49, 'sx': 40, 'cx': 26, 'reset': 5})"
28,6,27,6550,4940,"OrderedDict({'rz': 3147, 'cx': 2816, 'sx': 519, 'x': 68})",235,210,"OrderedDict({'rz': 98, 'sx': 74, 'cx': 57, 'reset': 6})"
28,7,27,25643,22930,"OrderedDict({'rz': 12190, 'cx': 10240, 'sx': 3080, 'x': 133})",461,431,"OrderedDict({'rz': 194, 'sx': 140, 'cx': 120, 'reset': 7})"
28,8,27,70989,58649,"OrderedDict({'rz': 33863, 'cx': 26624, 'sx': 10249, 'x': 253})",992,956,"OrderedDict({'rz': 435, 'sx': 302, 'cx': 247, 'reset': 8})"
